Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771695917979,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,36.11111068725586,8.823529243469238,5.714285850524902,8,17.142858505249023,5.714285850524902,5.714285850524902,19.44444465637207,16.666667938232422,17.142858505249023,23.52941131591797,11.428571701049805,8.823529243469238,2.857142925262451,2.857142925262451,2.857142925262451,0,72529.68786621094,32863.475158691406,1524.6752319335938,33050329088,8589930496,4138725376,0
200,1771695917979,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,36.11111068725586,8.823529243469238,5.714285850524902,8,17.142858505249023,5.714285850524902,5.714285850524902,19.44444465637207,16.666667938232422,17.142858505249023,23.52941131591797,11.428571701049805,8.823529243469238,2.857142925262451,2.857142925262451,2.857142925262451,0,72529.68786621094,32863.475158691406,1524.6752319335938,33050329088,8589930496,4138725376,0
200,1771695918179,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,10,61.904762268066406,10,0,0,30.000001907348633,5,5,10.526315689086914,5,5,20,10.526315689086914,14.285715103149414,4.761904716491699,14.285715103149414,0,72533.01971435547,32865.28894042969,1524.6769409179688,33050329088,8589930496,4151066624,0
200,1771695918379,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,5,95,0,0,5,5,0,0,0,5,0,0,5,0,0,0,0,72535.76824951172,32866.69372558594,1524.6769409179688,33050329088,8589930496,4147412992,0
200,1771695918579,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,5,0,0,0,0,0,0,0,0,100,0,4.761904716491699,0,0,0,0,0,72537.80603027344,32867.41076660156,1524.6769409179688,33050329088,8589930496,4147412992,0
199,1771695918779,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,72539.17163085938,32867.606506347656,1524.6769409179688,33050329088,8589930496,4147666944,0
199,1771695918979,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,5,52.6315803527832,9.523809432983398,5,5,5.263157844543457,14.285715103149414,5,60.000003814697266,66.66667175292969,10.526315689086914,0,5,5,5,5.263157844543457,0,72542.34216308594,32869.37042236328,1524.6769409179688,33050329088,8589930496,4185018368,0
199,1771695919180,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,57.894737243652344,31.57894515991211,10.526315689086914,15.000000953674316,5,14.285715103149414,16.666667938232422,15.000000953674316,84.21052551269531,20,28.571430206298828,52.38095474243164,19.047618865966797,19.047618865966797,15.000000953674316,47.619049072265625,0,72548.44305419922,32873.757080078125,1524.6776733398438,33050329088,8589930496,3907100672,0
199,1771695919380,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,10,10.526315689086914,18.18181800842285,0,5.263157844543457,5.263157844543457,30.000001907348633,5,5,26.3157901763916,80.95238494873047,38.88888931274414,28.571430206298828,10.526315689086914,9.523809432983398,15.789472579956055,0,72553.52185058594,32877.44207763672,1524.6837768554688,33050329088,8589930496,3986046976,0
200,1771695919580,4660,3656,4401,4402,4401,4402,2445,2436,3877,2790,4800,2249,4401,4401,4401,4401,10,10.526315689086914,18.18181800842285,0,5.263157844543457,5.263157844543457,30.000001907348633,5,5,26.3157901763916,80.95238494873047,38.88888931274414,28.571430206298828,10.526315689086914,9.523809432983398,15.789472579956055,0,72559.36102294922,32881.74249267578,1524.778564453125,33050329088,8589930496,4125708288,0
