Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771696432827,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,12.5,28.125,6.25,0,6.060606002807617,5.882352828979492,3.125,0,9.090909004211426,8.823529243469238,11.764705657958984,62.5,2.941176414489746,4.545454502105713,6.060606002807617,2.941176414489746,0,76340.79656982422,34633.51776123047,1596.1237182617188,33050329088,8589930496,4121157632,0
200,1771696432827,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,12.5,28.125,6.25,0,6.060606002807617,5.882352828979492,3.125,0,9.090909004211426,8.823529243469238,11.764705657958984,62.5,2.941176414489746,4.545454502105713,6.060606002807617,2.941176414489746,0,76340.79656982422,34633.51776123047,1596.1237182617188,33050329088,8589930496,4121157632,0
200,1771696433027,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,10,22.72727394104004,15.000000953674316,9.523809432983398,0,0,0,0,9.523809432983398,0,5,55,0,0,0,20,0,76343.89276123047,34635.16491699219,1596.1256103515625,33050329088,8589930496,4138672128,0
200,1771696433227,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,4.761904716491699,14.285715103149414,0,10,4.761904716491699,5.263157844543457,0,0,0,0,0,90.47618865966797,0,4.761904716491699,9.523809432983398,0,0,76346.67553710938,34636.541442871094,1596.1256103515625,33050329088,8589930496,4138307584,0
199,1771696433427,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76348.42785644531,34636.91052246094,1596.1256103515625,33050329088,8589930496,4138565632,0
199,1771696433627,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,0,100,0,20,5,10,10,0,9.523809432983398,5.263157844543457,9.523809432983398,0,14.285715103149414,5,0,5,0,76351.28289794922,34638.293518066406,1596.1256103515625,33050329088,8589930496,4163649536,0
199,1771696433827,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,25,57.894737243652344,5,0,10,30.000001907348633,15.789472579956055,33.333335876464844,55,33.333335876464844,26.3157901763916,47.619049072265625,25,19.047618865966797,15.000000953674316,9.523809432983398,0,76356.49139404297,34641.773010253906,1596.1256103515625,33050329088,8589930496,4222967808,0
199,1771696434027,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,14.285715103149414,14.285715103149414,5,5,14.285715103149414,10,19.047618865966797,5.263157844543457,75,40,55,65,20,10.526315689086914,15.000000953674316,5.882352828979492,0,76362.38757324219,34645.99072265625,1596.1256103515625,33050329088,8589930496,3936804864,0
199,1771696434227,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,25,11.111111640930176,10,10,5.263157844543457,20,5.263157844543457,15.000000953674316,35,25,55,85,10.526315689086914,11.111111640930176,15.789472579956055,35,0,76368.21063232422,34650.367614746094,1596.1766357421875,33050329088,8589930496,4048691200,0
200,1771696434428,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,68.42105102539063,20,42.105262756347656,25,15.000000953674316,15.000000953674316,35,10,20,30.000001907348633,23.809524536132813,31.57894515991211,19.047618865966797,9.523809432983398,5,4.761904716491699,0,76373.5581665039,34654.112365722656,1596.3298950195313,33050329088,8589930496,4225212416,0
200,1771696434628,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,100,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,76376.93444824219,34656.332580566406,1596.4572143554688,33050329088,8589930496,4219781120,0
199,1771696434828,2026,2427,4418,4371,4400,4399,1128,2446,2500,4100,1800,3399,4407,4403,4401,4395,100,0,0,0,0,0,0,0,5,4.761904716491699,0,5,0,0,0,0,0,76379.8803100586,34658.19207763672,1596.5855712890625,33050329088,8589930496,4220035072,0
