Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771699778790,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,43.75,38.235294342041016,0,0,3.125,0,0,3.125,15.625,12.5,12.121212005615234,9.67741870880127,4.545454502105713,0,3.0303030014038086,3.125,0,100924.81628417969,45940.28991699219,2116.6756591796875,33050329088,8589930496,4124200960,0
199,1771699778790,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,43.75,38.235294342041016,0,0,3.125,0,0,3.125,15.625,12.5,12.121212005615234,9.67741870880127,4.545454502105713,0,3.0303030014038086,3.125,0,100924.81628417969,45940.28991699219,2116.6756591796875,33050329088,8589930496,4124200960,0
200,1771699778990,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,0,50,0,0,15.000000953674316,4.761904716491699,10,4.761904716491699,94.73684692382813,15.789472579956055,0,4.761904716491699,0,0,0,4.761904716491699,0,100928.38153076172,45942.443420410156,2116.6764526367188,33050329088,8589930496,4138500096,0
200,1771699779190,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,5,100,0,0,0,5.263157844543457,5,5.263157844543457,90,19.047618865966797,5,47.619049072265625,5,0,0,0,0,100931.66094970703,45943.87744140625,2116.6764526367188,33050329088,8589930496,4143947776,0
200,1771699779390,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,0,100,0,0,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,100933.71801757813,45944.65350341797,2116.6764526367188,33050329088,8589930496,4143947776,0
199,1771699779590,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,0,100,9.090909004211426,0,0,0,10,0,0,100,0,0,0,4.761904716491699,0,5,0,100936.02020263672,45945.67492675781,2116.6764526367188,33050329088,8589930496,4137168896,0
200,1771699779790,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,40,57.894737243652344,0,4.761904716491699,4.761904716491699,9.523809432983398,5,15.000000953674316,0,100,4.761904716491699,0,0,5,0,0,0,100938.17950439453,45946.725830078125,2116.6764526367188,33050329088,8589930496,4138295296,0
199,1771699779990,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,100,0,4.761904716491699,10,0,5,15.000000953674316,25,4.761904716491699,100,0,0,0,0,0,0,0,100941.13787841797,45948.35333251953,2116.6764526367188,33050329088,8589930496,4015386624,0
199,1771699780191,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,19.047618865966797,9.523809432983398,0,9.523809432983398,5,0,0,80,14.285715103149414,78.26087188720703,78.94737243652344,21.052631378173828,0,5,9.523809432983398,10,0,100944.63958740234,45950.70935058594,2116.6781005859375,33050329088,8589930496,3847229440,0
199,1771699780391,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,33.333335876464844,31.57894515991211,30.000001907348633,11.111111640930176,0,30.000001907348633,45,15.789472579956055,16.666667938232422,61.11111068725586,20,19.047618865966797,5.263157844543457,5,10,20,0,100949.84118652344,45954.476806640625,2116.7520751953125,33050329088,8589930496,3984691200,0
199,1771699780591,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,20,19.047618865966797,5,5,9.523809432983398,5.263157844543457,10,10,22.72727394104004,50,20,21.052631378173828,5.263157844543457,5.263157844543457,10.526315689086914,0,0,100953.75915527344,45957.06555175781,2116.9081420898438,33050329088,8589930496,4009078784,0
199,1771699780791,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,57.142860412597656,31.57894515991211,10,10,10,5,10,10,11.111111640930176,68.42105102539063,33.333335876464844,9.523809432983398,5,5.263157844543457,15.000000953674316,10,0,100958.88793945313,45960.913513183594,2116.9981079101563,33050329088,8589930496,4101480448,0
199,1771699780991,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,40,35,5,5,5,5,21.052631378173828,10,22.72727394104004,45,42.105262756347656,70,5.263157844543457,5,5,5.263157844543457,0,100964.41040039063,45965.00372314453,2117.12158203125,33050329088,8589930496,4135108608,0
199,1771699781191,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,15.789472579956055,95.23809814453125,15.000000953674316,5.263157844543457,10,4.761904716491699,10,5,15.789472579956055,33.333335876464844,21.052631378173828,15.000000953674316,14.285715103149414,15.000000953674316,0,13.636363983154297,0,100970.21563720703,45969.46502685547,2117.228759765625,33050329088,8589930496,4131889152,0
199,1771699781391,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,25,55,19.047618865966797,5,10,15.000000953674316,15.000000953674316,16.666667938232422,30.000001907348633,60.000003814697266,36.3636360168457,42.105262756347656,20,10,14.285715103149414,5.263157844543457,0,100975.9144897461,45973.689392089844,2117.3566284179688,33050329088,8589930496,4189777920,0
199,1771699781591,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,60.000003814697266,16.666667938232422,33.333335876464844,30.000001907348633,20,25,11.111111640930176,33.333335876464844,21.052631378173828,38.88888931274414,60.000003814697266,30.000001907348633,15.000000953674316,28.571430206298828,15.789472579956055,15.000000953674316,0,100982.21447753906,45978.37658691406,2117.4661865234375,33050329088,8589930496,4311941120,0
199,1771699781791,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,30.000001907348633,61.904762268066406,15.000000953674316,20,15.789472579956055,20,23.809524536132813,0,40,30.000001907348633,22.22222328186035,23.809524536132813,15.000000953674316,10.526315689086914,21.052631378173828,15.000000953674316,0,100987.39544677734,45982.04040527344,2117.5916748046875,33050329088,8589930496,4333809664,0
199,1771699781991,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,35,45,16.666667938232422,5.555555820465088,28.571430206298828,5,27.77777862548828,19.047618865966797,57.142860412597656,57.894737243652344,42.85714340209961,33.333335876464844,25,21.052631378173828,15.789472579956055,21.052631378173828,0,100993.29284667969,45986.36804199219,2117.6847534179688,33050329088,8589930496,4379906048,0
199,1771699782191,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,15.000000953674316,26.3157901763916,23.809524536132813,10,5.263157844543457,5,33.333335876464844,5.263157844543457,15.789472579956055,90,40,11.111111640930176,15.000000953674316,10.526315689086914,10,9.523809432983398,0,100998.72009277344,45990.29541015625,2117.7728881835938,33050329088,8589930496,4439195648,0
199,1771699782391,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,35,23.809524536132813,14.285715103149414,10,14.285715103149414,10,38.88888931274414,15.000000953674316,30.000001907348633,63.15789031982422,19.047618865966797,40.90909194946289,15.789472579956055,28.571430206298828,15.000000953674316,5.263157844543457,0,101003.8930053711,45993.97216796875,2117.8519287109375,33050329088,8589930496,4493037568,0
199,1771699782591,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,50,25,15.000000953674316,15.789472579956055,11.111111640930176,20,31.81818199157715,21.052631378173828,15.000000953674316,23.809524536132813,50,15.789472579956055,30.000001907348633,26.3157901763916,20,35,0,101009.15399169922,45997.69317626953,2117.9689331054688,33050329088,8589930496,4550344704,0
200,1771699782791,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,61.904762268066406,5.263157844543457,14.285715103149414,14.285715103149414,26.3157901763916,15.789472579956055,25,10,5,20,5.263157844543457,9.523809432983398,30.000001907348633,10,5.555555820465088,5,0,101013.62976074219,46000.653381347656,2118.04052734375,33050329088,8589930496,4592521216,0
200,1771699782991,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,30.000001907348633,15.789472579956055,15.000000953674316,0,5.263157844543457,14.285715103149414,15.789472579956055,20,60.000003814697266,10,10.526315689086914,10,9.523809432983398,10,40.90909194946289,10,0,101018.21618652344,46003.79309082031,2118.1439208984375,33050329088,8589930496,4625248256,0
199,1771699783192,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,10,10,5.263157844543457,14.285715103149414,15.000000953674316,5,15.789472579956055,10.526315689086914,55,30.000001907348633,10.526315689086914,15.789472579956055,5.555555820465088,10,5.263157844543457,5,0,101022.5043334961,46006.693298339844,2118.235107421875,33050329088,8589930496,4661395456,0
199,1771699783392,1699,1600,4400,4405,4402,4402,1099,400,1699,2000,2237,1532,4402,4401,4400,4402,10,5.263157844543457,5.263157844543457,5,9.523809432983398,31.57894515991211,10,10,5.263157844543457,10,10,33.333335876464844,10,9.523809432983398,9.090909004211426,5,0,101025.79907226563,46008.624267578125,2118.3492431640625,33050329088,8589930496,4675203072,0
