Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771696569048,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,15.15151596069336,32.352943420410156,6.060606002807617,2.941176414489746,2.941176414489746,0,5.714285850524902,2.941176414489746,6.25,6.060606002807617,24.24242401123047,6.060606002807617,9.090909004211426,8.823529243469238,5.882352828979492,2.941176414489746,0,77107.65905761719,34926.77813720703,1609.0748291015625,33050329088,8589930496,4110319616,0
199,1771696569048,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,15.15151596069336,32.352943420410156,6.060606002807617,2.941176414489746,2.941176414489746,0,5.714285850524902,2.941176414489746,6.25,6.060606002807617,24.24242401123047,6.060606002807617,9.090909004211426,8.823529243469238,5.882352828979492,2.941176414489746,0,77107.67474365234,34926.77813720703,1609.0748291015625,33050329088,8589930496,4110319616,0
200,1771696569248,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,14.285715103149414,15.789472579956055,25,0,14.285715103149414,0,0,0,63.6363639831543,20,4.761904716491699,0,5,5,5,5,0,77110.7865600586,34928.44763183594,1609.0757446289063,33050329088,8589930496,4132933632,0
200,1771696569448,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,77113.30267333984,34929.73211669922,1609.0757446289063,33050329088,8589930496,4133363712,0
200,1771696569648,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,0,0,0,0,0,0,5,0,100,0,0,0,0,0,0,0,0,77115.1762084961,34930.27099609375,1609.0757446289063,33050329088,8589930496,4133363712,0
199,1771696569849,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,0,0,4.761904716491699,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,4.761904716491699,0,77116.74230957031,34930.55212402344,1609.0757446289063,33050329088,8589930496,4132179968,0
199,1771696570049,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,16.666667938232422,47.619049072265625,0,0,0,9.523809432983398,5.263157844543457,0,52.6315803527832,0,5,5,0,0,0,0,0,77118.52563476563,34931.18127441406,1609.0757446289063,33050329088,8589930496,4145819648,0
199,1771696570249,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,47.619049072265625,21.052631378173828,5.263157844543457,5.263157844543457,5,15.000000953674316,9.523809432983398,9.523809432983398,90.47618865966797,5.263157844543457,15.000000953674316,5,0,0,21.052631378173828,4.761904716491699,0,77122.6669921875,34933.38641357422,1609.0772094726563,33050329088,8589930496,3840495616,0
199,1771696570449,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,20,27.272727966308594,10.526315689086914,15.000000953674316,19.047618865966797,5.263157844543457,31.57894515991211,15.000000953674316,5.555555820465088,47.619049072265625,15.789472579956055,14.285715103149414,22.72727394104004,26.3157901763916,14.285715103149414,14.285715103149414,0,77127.09405517578,34936.413330078125,1609.08056640625,33050329088,8589930496,3920285696,0
200,1771696570649,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,42.105262756347656,16.666667938232422,20,30.000001907348633,15.000000953674316,30.000001907348633,15.789472579956055,10.526315689086914,57.142860412597656,42.105262756347656,60.000003814697266,36.842105865478516,21.052631378173828,14.285715103149414,5,11.111111640930176,0,77133.42486572266,34941.16833496094,1609.22509765625,33050329088,8589930496,4166705152,0
199,1771696570849,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,5,14.285715103149414,14.285715103149414,5,5.263157844543457,5,14.285715103149414,10,14.285715103149414,9.523809432983398,100,9.523809432983398,0,0,5,9.523809432983398,0,77138.01654052734,34944.29571533203,1609.4545288085938,33050329088,8589930496,4168175616,0
200,1771696571049,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,30.000001907348633,5.555555820465088,5.263157844543457,9.523809432983398,9.090909004211426,4.761904716491699,30.000001907348633,5,10,5.263157844543457,94.73684692382813,0,5,10,10,0,0,77142.55535888672,34947.473876953125,1609.5497436523438,33050329088,8589930496,4232949760,0
200,1771696571249,1800,1800,4402,4396,4401,4400,1099,1100,1615,1612,4800,1800,4410,4409,4401,4401,0,4.761904716491699,0,0,0,0,9.523809432983398,0,0,0,100,0,0,0,0,0,0,77146.00946044922,34949.88897705078,1609.6436767578125,33050329088,8589930496,4233265152,0
