Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771540681305,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,20,17.5,30.000001907348633,17.948719024658203,22.5,27.5,23.33333396911621,12.820513725280762,17.5,17.5,12.820513725280762,15.384615898132324,10.526315689086914,20,21.95121955871582,24.390243530273438,0,140023.2625732422,67242.46789550781,3484.2717895507813,33050337280,8589930496,4846366720,0
199,1771540681305,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,20,17.5,30.000001907348633,17.948719024658203,22.5,27.5,23.33333396911621,12.820513725280762,17.5,17.5,12.820513725280762,15.384615898132324,10.526315689086914,20,21.95121955871582,24.390243530273438,0,140023.27032470703,67242.4692993164,3484.2717895507813,33050337280,8589930496,4846366720,0
199,1771540681506,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,68.42105102539063,5,0,19.047618865966797,5,10,0,0,31.81818199157715,0,0,4.761904716491699,25,0,4.761904716491699,10,0,140025.45343017578,67243.56866455078,3484.2727661132813,33050337280,8589930496,4860907520,0
199,1771540681706,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,68.42105102539063,5,0,19.047618865966797,5,10,0,0,31.81818199157715,0,0,4.761904716491699,25,0,4.761904716491699,10,0,140027.7969970703,67244.49542236328,3484.2733764648438,33050337280,8589930496,4850049024,0
200,1771540681906,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,36.585365295410156,5,7.500000476837158,0,4.878048419952393,5.128205299377441,7.500000476837158,2.4390242099761963,7.317072868347168,7.500000476837158,0,65,2.4390242099761963,2.5,0,0,0,140029.63818359375,67245.17083740234,3484.2733764648438,33050337280,8589930496,4855300096,0
199,1771540682106,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,10,5,47.36842346191406,5,15.000000953674316,9.523809432983398,15.789472579956055,10,5.263157844543457,10,14.285715103149414,100,15.000000953674316,15.000000953674316,5.263157844543457,5.263157844543457,0,140031.4656982422,67245.81219482422,3484.2733764648438,33050337280,8589930496,4870479872,0
199,1771540682306,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,10,5,47.36842346191406,5,15.000000953674316,9.523809432983398,15.789472579956055,10,5.263157844543457,10,14.285715103149414,100,15.000000953674316,15.000000953674316,5.263157844543457,5.263157844543457,0,140033.71325683594,67247.12615966797,3484.27392578125,33050337280,8589930496,4892073984,0
199,1771540682506,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,0,4.878048419952393,26.829269409179688,12.5,7.692307949066162,12.5,14.634145736694336,7.317072868347168,31.57894515991211,55,2.5,22.5,7.692307949066162,7.692307949066162,14.634145736694336,12.5,0,140036.1531982422,67248.40808105469,3484.27392578125,33050337280,8589930496,4762169344,0
199,1771540682707,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,9.523809432983398,20,15.789472579956055,47.36842346191406,0,20,5.263157844543457,0,4.761904716491699,45,5.263157844543457,52.6315803527832,5,9.523809432983398,5.263157844543457,5,0,140038.35528564453,67249.86541748047,3484.27392578125,33050337280,8589930496,4577968128,0
199,1771540682907,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,15.789472579956055,40,20,15.789472579956055,10,15.000000953674316,10,40,10,28.571430206298828,10,15.000000953674316,10,5.263157844543457,40,14.285715103149414,0,140040.1727294922,67250.75854492188,3484.3089599609375,33050337280,8589930496,4690247680,0
199,1771540683107,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,14.285715103149414,19.047618865966797,5.263157844543457,20,0,5.263157844543457,14.285715103149414,5,14.285715103149414,25,11.111111640930176,15.000000953674316,5.263157844543457,15.000000953674316,5.263157844543457,10,0,140041.62005615234,67251.23779296875,3484.4765014648438,33050337280,8589930496,4716421120,0
199,1771540683307,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,0,0,10,15.000000953674316,10,5,5.263157844543457,0,0,5,9.523809432983398,15.000000953674316,20,0,5.263157844543457,10,0,140042.75512695313,67251.4867553711,3484.599365234375,33050337280,8589930496,4728762368,0
200,1771540683507,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,0,0,10,15.000000953674316,10,5,5.263157844543457,0,0,5,9.523809432983398,15.000000953674316,20,0,5.263157844543457,10,0,140044.60443115234,67252.40435791016,3484.6886596679688,33050337280,8589930496,4776194048,0
199,1771540683707,1382,1631,2800,2800,2800,2800,1806,2222,1600,1599,1592,1360,1000,1000,1000,1000,37.5,5,23.076923370361328,15.384615898132324,2.5641026496887207,27.5,12.5,17.5,30.76923179626465,17.5,5.128205299377441,15.384615898132324,7.692307949066162,12.195121765136719,17.073171615600586,2.5641026496887207,0,140047.1033935547,67253.99304199219,3484.798828125,33050337280,8589930496,4805521408,0
