Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771698628110,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,21.212121963500977,34.28571701049805,5.714285850524902,2.941176414489746,9.090909004211426,2.857142925262451,2.941176414489746,8.333333969116211,18.18181800842285,57.142860412597656,5.882352828979492,17.647058486938477,0,0,6.060606002807617,2.941176414489746,0,92319.1460571289,41938.90881347656,1934.2996826171875,33050329088,8589930496,4163526656,0
200,1771698628110,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,21.212121963500977,34.28571701049805,5.714285850524902,2.941176414489746,9.090909004211426,2.857142925262451,2.941176414489746,8.333333969116211,18.18181800842285,57.142860412597656,5.882352828979492,17.647058486938477,0,0,6.060606002807617,2.941176414489746,0,92319.1460571289,41938.90881347656,1934.2996826171875,33050329088,8589930496,4163526656,0
200,1771698628310,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,27.272727966308594,20,0,10,10,0,0,0,60.000003814697266,10,0,0,25,9.523809432983398,0,4.761904716491699,0,92322.455078125,41940.714782714844,1934.3020629882813,33050329088,8589930496,4179824640,0
199,1771698628510,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,15.000000953674316,0,0,0,5,0,0,0,85,0,0,0,0,0,0,0,0,92324.8515625,41941.85272216797,1934.3020629882813,33050329088,8589930496,4160987136,0
199,1771698628710,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,100,9.523809432983398,15.000000953674316,10,9.523809432983398,4.761904716491699,27.272727966308594,0,0,14.285715103149414,4.761904716491699,10,9.523809432983398,5.263157844543457,20,5,0,92327.86926269531,41943.344970703125,1934.3020629882813,33050329088,8589930496,4190715904,0
199,1771698628910,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,100,15.789472579956055,10,0,25,11.111111640930176,5.555555820465088,19.047618865966797,57.142860412597656,31.57894515991211,10,14.285715103149414,20,25,20,52.6315803527832,0,92334.07989501953,41947.685607910156,1934.3020629882813,33050329088,8589930496,4287057920,0
199,1771698629110,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,45,23.809524536132813,0,0,0,5,26.3157901763916,5.555555820465088,47.36842346191406,50,50,9.523809432983398,10,10,5.263157844543457,5,0,92339.20617675781,41950.90447998047,1934.3029174804688,33050329088,8589930496,4330573824,0
199,1771698629310,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,15.000000953674316,26.3157901763916,15.000000953674316,13.636363983154297,5,9.523809432983398,5.263157844543457,5.263157844543457,45,61.904762268066406,63.15789031982422,25,5,14.285715103149414,10,10.526315689086914,0,92344.38000488281,41954.47180175781,1934.3029174804688,33050329088,8589930496,4073410560,0
200,1771698629511,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,47.619049072265625,0,10.526315689086914,5,5.263157844543457,19.047618865966797,13.636363983154297,19.047618865966797,42.105262756347656,30.000001907348633,14.285715103149414,15.000000953674316,14.285715103149414,5.555555820465088,9.523809432983398,4.761904716491699,0,92348.43096923828,41957.18640136719,1934.3589477539063,33050329088,8589930496,4195131392,0
200,1771698629711,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,94.73684692382813,10,9.523809432983398,5.263157844543457,4.761904716491699,21.052631378173828,10,5.263157844543457,10,21.052631378173828,33.333335876464844,15.789472579956055,5.263157844543457,40,10.526315689086914,10,0,92354.25,41961.59802246094,1934.4847412109375,33050329088,8589930496,4357513216,0
200,1771698629911,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,100,5,0,5,0,0,0,0,0,5,0,4.761904716491699,0,0,0,0,0,92358.07049560547,41964.33966064453,1934.5952758789063,33050329088,8589930496,4361379840,0
200,1771698630111,1819,1731,4381,4403,4401,4397,2169,2295,2934,4582,1800,1797,4441,4400,4401,4366,100,4.761904716491699,0,4.761904716491699,0,0,5,0,4.761904716491699,0,0,0,4.761904716491699,0,4.761904716491699,0,0,92361.7607421875,41966.93914794922,1934.697265625,33050329088,8589930496,4357722112,0
