Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771535267547,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,22.5,20,22.5,23.33333396911621,12.820513725280762,17.5,15.384615898132324,12.5,20,19.047618865966797,17.073171615600586,15.000000953674316,20,22.5,19.51219367980957,20,0,116042.93353271484,59242.141540527344,2729.05859375,33050337280,8589930496,4821368832,0
200,1771535267547,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,22.5,20,22.5,23.33333396911621,12.820513725280762,17.5,15.384615898132324,12.5,20,19.047618865966797,17.073171615600586,15.000000953674316,20,22.5,19.51219367980957,20,0,116042.94171142578,59242.141540527344,2729.05859375,33050337280,8589930496,4821368832,0
200,1771535267747,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,28.571430206298828,66.66667175292969,30.000001907348633,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,10,19.047618865966797,0,10,0,116045.61407470703,59243.19903564453,2729.06103515625,33050337280,8589930496,4825235456,0
199,1771535267947,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,0,78.94737243652344,0,0,0,0,0,0,10,5,20,5,0,0,0,15.000000953674316,0,116047.76965332031,59244.24639892578,2729.0621948242188,33050337280,8589930496,4827934720,0
199,1771535268148,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,0,0,0,0,0,0,0,0,5,0,100,0,0,0,0,0,0,116049.32897949219,59244.63653564453,2729.0621948242188,33050337280,8589930496,4827934720,0
199,1771535268348,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,116050.63525390625,59244.80603027344,2729.0621948242188,33050337280,8589930496,4828192768,0
199,1771535268548,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,10,5.263157844543457,0,9.523809432983398,5.263157844543457,4.761904716491699,19.047618865966797,47.619049072265625,10,5,100,9.523809432983398,10,5,5,5,0,116051.9926147461,59245.13146972656,2729.0621948242188,33050337280,8589930496,4835086336,0
199,1771535268748,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,50,30.000001907348633,40,20,40,31.57894515991211,15.789472579956055,85,31.57894515991211,10.526315689086914,100,15.789472579956055,33.333335876464844,30.000001907348633,15.789472579956055,50,0,116054.87200927734,59246.701110839844,2729.0621948242188,33050337280,8589930496,4725702656,0
199,1771535268948,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,50,30.000001907348633,40,20,40,31.57894515991211,15.789472579956055,85,31.57894515991211,10.526315689086914,100,15.789472579956055,33.333335876464844,30.000001907348633,15.789472579956055,50,0,116058.34838867188,59249.25573730469,2729.0621948242188,33050337280,8589930496,4587941888,0
199,1771535269148,1455,2500,2500,2500,2500,2500,1803,1861,1354,2088,1359,1413,1580,1678,1580,1580,30.76923179626465,7.692307949066162,15.000000953674316,28.205129623413086,17.5,30.000001907348633,30.000001907348633,15.000000953674316,67.5,42.5,40,19.51219367980957,7.894736289978027,7.500000476837158,17.5,32.5,0,116061.41497802734,59251.54016113281,2729.0687866210938,33050337280,8589930496,4691058688,0
