Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771699264081,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,17.142858505249023,8.571429252624512,5.714285850524902,5.555555820465088,2.777777910232544,3.846153974533081,0,2.857142925262451,14.285715103149414,25.71428680419922,16.666667938232422,16.216215133666992,10.810811042785645,11.111111640930176,5.405405521392822,5.714285850524902,0,97502.1748046875,44463.88952636719,2049.4193115234375,33050329088,8589930496,4183085056,0
200,1771699264081,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,17.142858505249023,8.571429252624512,5.714285850524902,5.555555820465088,2.777777910232544,3.846153974533081,0,2.857142925262451,14.285715103149414,25.71428680419922,16.666667938232422,16.216215133666992,10.810811042785645,11.111111640930176,5.405405521392822,5.714285850524902,0,97502.1748046875,44463.88952636719,2049.4193115234375,33050329088,8589930496,4183085056,0
200,1771699264281,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,23.809524536132813,55,15.000000953674316,4.761904716491699,5,5,0,0,4.761904716491699,0,0,0,0,0,0,0,0,97504.97827148438,44465.26544189453,2049.4205322265625,33050329088,8589930496,4200992768,0
199,1771699264481,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,0,85.71428680419922,0,0,0,0,0,0,10.526315689086914,0,0,0,0,0,4.761904716491699,0,0,97507.5219116211,44466.53308105469,2049.4205322265625,33050329088,8589930496,4201029632,0
200,1771699264681,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,13.636363983154297,0,0,5.263157844543457,21.052631378173828,15.789472579956055,25,10.526315689086914,100,10,10,26.3157901763916,0,4.761904716491699,0,13.636363983154297,0,97511.83966064453,44468.815368652344,2049.4205322265625,33050329088,8589930496,4219248640,0
199,1771699264881,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,36.842105865478516,55,10.526315689086914,20,15.789472579956055,14.285715103149414,27.77777862548828,9.523809432983398,100,38.095237731933594,21.052631378173828,45,22.22222328186035,26.3157901763916,20,10.526315689086914,0,97518.45202636719,44473.5927734375,2049.4205322265625,33050329088,8589930496,4349394944,0
199,1771699265081,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,35,70,0,0,4.761904716491699,0,4.761904716491699,0,50,55,0,5.263157844543457,9.523809432983398,10.526315689086914,5.263157844543457,5,0,97523.8129272461,44477.38513183594,2049.4205322265625,33050329088,8589930496,4377255936,0
199,1771699265281,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,9.090909004211426,75,13.636363983154297,10.526315689086914,0,9.523809432983398,0,33.333335876464844,5,26.3157901763916,57.142860412597656,9.523809432983398,0,15.000000953674316,15.000000953674316,5.263157844543457,0,97528.44842529297,44480.46435546875,2049.4210815429688,33050329088,8589930496,4103639040,0
199,1771699265481,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,5.263157844543457,20,5.263157844543457,20,21.052631378173828,5,18.18181800842285,5,25,36.842105865478516,10.526315689086914,10.526315689086914,14.285715103149414,10,5,10,0,97532.00677490234,44482.776306152344,2049.4308471679688,33050329088,8589930496,4210880512,0
199,1771699265681,3098,3019,4402,4401,4406,4394,1092,2177,2300,4699,1447,1400,4402,4399,4391,4389,66.66667175292969,28.571430206298828,15.000000953674316,31.57894515991211,14.285715103149414,15.000000953674316,5.263157844543457,0,55,19.047618865966797,42.85714340209961,31.57894515991211,15.789472579956055,10.526315689086914,5,20,0,97537.9321899414,44487.20300292969,2049.5564575195313,33050329088,8589930496,4401414144,0
