Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771701580478,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,19.44444465637207,23.52941131591797,2.941176414489746,2.941176414489746,0,5.714285850524902,2.941176414489746,2.941176414489746,62.85714340209961,5.714285850524902,14.705883026123047,2.941176414489746,0,4,2.941176414489746,2.941176414489746,0,113738.56243896484,51737.692932128906,2351.9039306640625,33050329088,8589930496,4125097984,0
200,1771701580478,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,19.44444465637207,23.52941131591797,2.941176414489746,2.941176414489746,0,5.714285850524902,2.941176414489746,2.941176414489746,62.85714340209961,5.714285850524902,14.705883026123047,2.941176414489746,0,4,2.941176414489746,2.941176414489746,0,113738.56243896484,51737.692932128906,2351.9039306640625,33050329088,8589930496,4125097984,0
199,1771701580678,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,10.526315689086914,20,52.38095474243164,0,4.761904716491699,5,5,4.761904716491699,35,21.052631378173828,0,61.904762268066406,19.047618865966797,0,0,4.761904716491699,0,113743.22473144531,51740.95684814453,2351.9059448242188,33050329088,8589930496,4144533504,0
200,1771701580878,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,5,85,4.761904716491699,0,0,0,0,15.789472579956055,0,0,100,0,5.263157844543457,0,5,0,113746.55017089844,51742.55651855469,2351.9059448242188,33050329088,8589930496,4140597248,0
200,1771701581078,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,0,0,0,0,0,0,0,100,40.90909194946289,0,65,0,4.761904716491699,0,0,0,113748.80352783203,51743.510498046875,2351.9059448242188,33050329088,8589930496,4138508288,0
200,1771701581278,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,0,0,0,0,0,0,0,100,100,4.761904716491699,4.761904716491699,0,0,0,0,0,113750.7865600586,51744.26574707031,2351.90673828125,33050329088,8589930496,4139020288,0
199,1771701581479,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,0,0,0,0,0,0,0,47.619049072265625,100,0,50,0,0,0,0,0,113752.37481689453,51744.882873535156,2351.90673828125,33050329088,8589930496,4139020288,0
199,1771701581679,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,50,10,5,5.263157844543457,10,0,20,5,5.263157844543457,57.894737243652344,5,100,0,5,25,0,0,113755.74212646484,51746.85168457031,2351.90673828125,33050329088,8589930496,4038852608,0
199,1771701581879,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,47.619049072265625,66.66667175292969,20,25,10,23.809524536132813,20,5.263157844543457,52.38095474243164,15.000000953674316,42.105262756347656,36.842105865478516,5,5.263157844543457,19.047618865966797,35,0,113761.88818359375,51751.67822265625,2351.9100952148438,33050329088,8589930496,3905789952,0
200,1771701582079,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,47.619049072265625,55.55555725097656,10.526315689086914,9.523809432983398,20,14.285715103149414,21.052631378173828,10,78.94737243652344,19.047618865966797,31.57894515991211,23.809524536132813,14.285715103149414,28.571430206298828,10,0,0,113768.92114257813,51757.28942871094,2352.02490234375,33050329088,8589930496,4043390976,0
200,1771701582279,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,68.42105102539063,80.95238494873047,13.636363983154297,5.263157844543457,20,5,15.000000953674316,15.000000953674316,10.526315689086914,17.647058486938477,25,16.666667938232422,5,19.047618865966797,5.263157844543457,9.523809432983398,0,113775.20849609375,51762.09045410156,2352.217041015625,33050329088,8589930496,4135534592,0
199,1771701582479,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,85,61.904762268066406,16.666667938232422,25,10.526315689086914,5.555555820465088,5,10,35,15.000000953674316,20,9.523809432983398,5.263157844543457,10.526315689086914,5,0,0,113781.01055908203,51766.523193359375,2352.3020629882813,33050329088,8589930496,4195672064,0
199,1771701582679,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,36.842105865478516,60.000003814697266,33.333335876464844,20,20,20,26.3157901763916,5,95,20,35,26.3157901763916,21.052631378173828,25,15.789472579956055,19.047618865966797,0,113787.42724609375,51771.339416503906,2352.4432373046875,33050329088,8589930496,4239671296,0
200,1771701582879,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,57.894737243652344,50,20,15.000000953674316,20,22.72727394104004,30.000001907348633,21.052631378173828,76.19047546386719,35,42.105262756347656,35,33.333335876464844,15.789472579956055,23.809524536132813,23.809524536132813,0,113793.87622070313,51776.23907470703,2352.5374145507813,33050329088,8589930496,4343406592,0
199,1771701583079,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,40,75,11.111111640930176,5.263157844543457,5.263157844543457,5.555555820465088,15.789472579956055,10.526315689086914,20,20,40,36.842105865478516,10.526315689086914,14.285715103149414,5.263157844543457,10.526315689086914,0,113799.2914428711,51780.01348876953,2352.7415161132813,33050329088,8589930496,4336066560,0
199,1771701583279,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,35,25,31.81818199157715,15.789472579956055,23.809524536132813,10.526315689086914,36.842105865478516,10.526315689086914,85,26.3157901763916,25,26.3157901763916,15.789472579956055,25,25,16.666667938232422,0,113805.09204101563,51784.13562011719,2352.9138793945313,33050329088,8589930496,4433821696,0
199,1771701583479,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,28.571430206298828,38.095237731933594,36.842105865478516,15.789472579956055,21.052631378173828,30.000001907348633,10,14.285715103149414,75,55,42.105262756347656,50,28.571430206298828,20,23.809524536132813,38.095237731933594,0,113812.31573486328,51789.772216796875,2353.0579223632813,33050329088,8589930496,4564582400,0
199,1771701583679,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,26.3157901763916,17.647058486938477,9.523809432983398,9.523809432983398,5,14.285715103149414,10.526315689086914,5,50,20,70,21.052631378173828,10.526315689086914,10.526315689086914,5.263157844543457,10,0,113817.19580078125,51793.27734375,2353.1363525390625,33050329088,8589930496,4612698112,0
199,1771701583879,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,42.85714340209961,28.571430206298828,15.000000953674316,5,5,9.523809432983398,5,10,57.894737243652344,15.000000953674316,35,33.333335876464844,15.000000953674316,10,9.523809432983398,5,0,113822.03088378906,51796.68896484375,2353.2418212890625,33050329088,8589930496,4639940608,0
199,1771701584079,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,27.77777862548828,68.42105102539063,15.000000953674316,10,10.526315689086914,5,15.789472579956055,10,23.809524536132813,10,22.72727394104004,10.526315689086914,20,15.000000953674316,5.263157844543457,5,0,113826.75811767578,51800.02862548828,2353.3160400390625,33050329088,8589930496,4668497920,0
199,1771701584280,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,10.526315689086914,5,4.761904716491699,11.111111640930176,10,15.789472579956055,10,5.263157844543457,10.526315689086914,100,20,5.263157844543457,10.526315689086914,14.285715103149414,5.263157844543457,5.555555820465088,0,113831.74719238281,51803.63153076172,2353.3987426757813,33050329088,8589930496,4660961280,0
199,1771701584480,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,66.66667175292969,16.666667938232422,15.000000953674316,19.047618865966797,15.000000953674316,15.789472579956055,20,10.526315689086914,38.88888931274414,20,5.555555820465088,33.333335876464844,20,10.526315689086914,15.000000953674316,28.571430206298828,0,113837.23919677734,51807.636962890625,2353.4954223632813,33050329088,8589930496,4687065088,0
200,1771701584680,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,14.285715103149414,14.285715103149414,15.789472579956055,14.285715103149414,20,14.285715103149414,15.000000953674316,15.000000953674316,33.333335876464844,45,15.000000953674316,47.619049072265625,20,15.000000953674316,10,10,0,113842.08142089844,51811.00469970703,2353.5955810546875,33050329088,8589930496,4733509632,0
200,1771701584880,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,5,10,10,5.263157844543457,9.523809432983398,5,15.789472579956055,10,25,10,10,100,14.285715103149414,10,10,10,0,113846.60314941406,51814.21179199219,2353.6685180664063,33050329088,8589930496,4767809536,0
200,1771701585080,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,15.000000953674316,42.85714340209961,5.263157844543457,10,5.263157844543457,9.523809432983398,20,5.263157844543457,20,80,15.789472579956055,45,10,9.523809432983398,5.555555820465088,4.761904716491699,0,113851.66314697266,51817.811584472656,2353.7711791992188,33050329088,8589930496,4805214208,0
199,1771701585280,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,21.052631378173828,38.88888931274414,15.789472579956055,15.000000953674316,20,10.526315689086914,23.809524536132813,20,42.105262756347656,63.15789031982422,33.333335876464844,55.55555725097656,25,45,15.000000953674316,5.882352828979492,0,113858.13250732422,51822.7939453125,2353.8551025390625,33050329088,8589930496,4885110784,0
199,1771701585480,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,31.81818199157715,14.285715103149414,9.523809432983398,9.523809432983398,35,10,15.000000953674316,14.285715103149414,30.000001907348633,33.333335876464844,20,19.047618865966797,15.000000953674316,21.052631378173828,11.111111640930176,13.636363983154297,0,113862.26147460938,51825.53063964844,2353.9376831054688,33050329088,8589930496,4904292352,0
199,1771701585680,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,15.789472579956055,5.263157844543457,47.36842346191406,0,21.052631378173828,5,5.263157844543457,5.263157844543457,10,15.000000953674316,10.526315689086914,21.052631378173828,10.526315689086914,5,14.285715103149414,5.263157844543457,0,113865.8579711914,51827.78649902344,2354.0286254882813,33050329088,8589930496,4939698176,0
199,1771701585880,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,47.619049072265625,31.81818199157715,19.047618865966797,21.7391300201416,10,21.052631378173828,25,11.111111640930176,20,30.000001907348633,28.571430206298828,61.904762268066406,28.571430206298828,15.789472579956055,10.526315689086914,10.526315689086914,0,113871.10150146484,51831.534118652344,2354.1204833984375,33050329088,8589930496,4944580608,0
199,1771701586080,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,25,5,0,5.263157844543457,0,0,5,5,19.047618865966797,10,21.052631378173828,0,0,9.523809432983398,9.090909004211426,0,0,113873.36450195313,51832.60430908203,2354.158447265625,33050329088,8589930496,4950626304,0
200,1771701586281,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,15.000000953674316,5.263157844543457,5,0,14.285715103149414,9.523809432983398,9.523809432983398,5,0,10,60.000003814697266,10,10,5.263157844543457,0,10,0,113876.62609863281,51834.667053222656,2354.1648559570313,33050329088,8589930496,4977389568,0
199,1771701586481,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,20,20,28.571430206298828,9.523809432983398,9.523809432983398,5.263157844543457,16.666667938232422,5,14.285715103149414,5,10.526315689086914,10,5,20,10.526315689086914,5.555555820465088,0,113879.86462402344,51836.64416503906,2354.1697998046875,33050329088,8589930496,5002948608,0
199,1771701586681,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,15.000000953674316,0,0,5,0,9.090909004211426,4.761904716491699,15.000000953674316,0,5,9.523809432983398,5,36.842105865478516,0,9.090909004211426,0,113882.10534667969,51837.834411621094,2354.1697998046875,33050329088,8589930496,5008494592,0
199,1771701586881,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,26.3157901763916,30.000001907348633,15.000000953674316,10,33.333335876464844,10,5.555555820465088,10,65,25,35,20,10.526315689086914,19.047618865966797,22.72727394104004,22.72727394104004,0,113886.98114013672,51841.28405761719,2354.2462158203125,33050329088,8589930496,5043777536,0
199,1771701587081,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,14.285715103149414,10,0,5.263157844543457,5.263157844543457,4.761904716491699,5,10,10.526315689086914,5.263157844543457,30.000001907348633,15.000000953674316,9.523809432983398,0,5,0,0,113889.56860351563,51842.54040527344,2354.3611450195313,33050329088,8589930496,5051973632,0
199,1771701587281,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,40,31.57894515991211,15.000000953674316,20,21.052631378173828,15.789472579956055,42.105262756347656,17.647058486938477,26.3157901763916,35,47.619049072265625,31.57894515991211,16.666667938232422,15.000000953674316,21.052631378173828,21.052631378173828,0,113894.54760742188,51845.791931152344,2354.5575561523438,33050329088,8589930496,5083598848,0
199,1771701587481,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,20,20,10.526315689086914,15.000000953674316,14.285715103149414,5,13.636363983154297,9.523809432983398,10,20,10.526315689086914,10,5,35,10.526315689086914,5.263157844543457,0,113898.24548339844,51848.00799560547,2354.7230224609375,33050329088,8589930496,5103304704,0
199,1771701587681,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,4.761904716491699,5,0,5,0,5,0,0,5,9.523809432983398,0,9.523809432983398,0,15.000000953674316,5,0,0,113900.59777832031,51849.022705078125,2354.8925170898438,33050329088,8589930496,5113098240,0
199,1771701587881,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,10.526315689086914,28.571430206298828,14.285715103149414,0,0,5,0,0,5,5.263157844543457,9.523809432983398,10,0,10,30.000001907348633,0,0,113903.46337890625,51850.66961669922,2354.9656982421875,33050329088,8589930496,5118001152,0
200,1771701588081,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,14.285715103149414,42.105262756347656,5.263157844543457,5,10,5,9.523809432983398,5,13.636363983154297,10.526315689086914,10.526315689086914,40,5,0,4.761904716491699,10,0,113906.97045898438,51852.862854003906,2355.0700073242188,33050329088,8589930496,5142011904,0
200,1771701588281,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,30.000001907348633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113908.6499633789,51853.444274902344,2355.0878295898438,33050329088,8589930496,5142614016,0
200,1771701588482,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,5,26.3157901763916,0,0,4.761904716491699,0,0,0,5,0,0,0,5,0,0,0,0,113909.94805908203,51853.757385253906,2355.0878295898438,33050329088,8589930496,5143519232,0
199,1771701588682,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,28.571430206298828,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,113911.08905029297,51853.9833984375,2355.0878295898438,33050329088,8589930496,5143511040,0
200,1771701588882,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,26.3157901763916,0,0,0,0,15.000000953674316,0,0,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,113912.23400878906,51854.225524902344,2355.0878295898438,33050329088,8589930496,5139865600,0
199,1771701589082,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,28.571430206298828,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,113913.39123535156,51854.469299316406,2355.0914916992188,33050329088,8589930496,5135708160,0
200,1771701589282,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,28.571430206298828,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,113916.29211425781,51856.208068847656,2355.1044921875,33050329088,8589930496,5148151808,0
200,1771701589482,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,5,32.5,4.878048419952393,7.500000476837158,5,10,7.500000476837158,7.692307949066162,12.820513725280762,4.878048419952393,9.756096839904785,15.000000953674316,5,2.5,2.5641026496887207,7.692307949066162,0,113917.99444580078,51856.843505859375,2355.12109375,33050329088,8589930496,5137096704,0
199,1771701589682,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,25,0,0,0,0,10,4.761904716491699,0,0,0,0,0,0,0,0,0,113919.10546875,51857.04522705078,2355.12109375,33050329088,8589930496,5137096704,0
200,1771701589882,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,0,25,0,0,0,0,10,4.761904716491699,0,0,0,0,0,0,0,0,0,113920.52239990234,51857.539306640625,2355.12109375,33050329088,8589930496,5138083840,0
200,1771701590083,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,10,25,0,9.523809432983398,4.761904716491699,0,0,0,0,0,5,15.000000953674316,9.090909004211426,10,9.523809432983398,9.523809432983398,0,113922.62133789063,51858.57702636719,2355.12109375,33050329088,8589930496,5128298496,0
199,1771701590283,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,4.761904716491699,4.761904716491699,0,0,0,0,5,0,0,4.761904716491699,0,25,0,5,0,4.761904716491699,0,113924.0542602539,51859.06707763672,2355.12109375,33050329088,8589930496,5127770112,0
199,1771701590483,1799,400,4349,4494,4401,4401,1429,1249,1792,4734,400,1790,4404,4401,4403,4418,5.555555820465088,57.894737243652344,14.285715103149414,5,0,0,5,25,14.285715103149414,15.000000953674316,25,15.000000953674316,5,9.523809432983398,9.523809432983398,0,0,113927.40557861328,51861.204650878906,2355.1519775390625,33050329088,8589930496,5144928256,0
