Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771697462410,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,14.705883026123047,26.47058868408203,0,0,9.375,3.125,9.375,3.125,23.52941131591797,16,3.0303030014038086,20.58823585510254,8.823529243469238,6.060606002807617,12.121212005615234,0,0,83897.63116455078,38113.67468261719,1744.3058471679688,33050329088,8589930496,4157624320,0
200,1771697462410,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,14.705883026123047,26.47058868408203,0,0,9.375,3.125,9.375,3.125,23.52941131591797,16,3.0303030014038086,20.58823585510254,8.823529243469238,6.060606002807617,12.121212005615234,0,0,83897.63116455078,38113.67468261719,1744.3058471679688,33050329088,8589930496,4157624320,0
200,1771697462610,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,0,0,4.761904716491699,4.761904716491699,0,4.761904716491699,0,4.761904716491699,4.761904716491699,75,0,0,0,0,0,19.047618865966797,0,83900.31726074219,38114.97296142578,1744.3067016601563,33050329088,8589930496,4175970304,0
199,1771697462811,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,0,15.000000953674316,0,5,9.523809432983398,5,10,0,5,85,0,0,0,0,0,0,0,83903.49340820313,38116.37322998047,1744.3067016601563,33050329088,8589930496,4181127168,0
199,1771697463011,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,0,100,0,0,0,5,10,0,20,5,0,23.809524536132813,0,4.761904716491699,0,0,0,83906.35662841797,38117.74743652344,1744.3067016601563,33050329088,8589930496,4192342016,0
199,1771697463211,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,33.333335876464844,100,10,15.000000953674316,15.000000953674316,5.263157844543457,20,5,50,15.000000953674316,27.272727966308594,21.052631378173828,14.285715103149414,5.555555820465088,10,23.809524536132813,0,83911.3765258789,38121.10388183594,1744.3077392578125,33050329088,8589930496,4252151808,0
199,1771697463411,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,28.571430206298828,50,5.263157844543457,5.263157844543457,5,5,26.3157901763916,10,84.21052551269531,20,65,0,10.526315689086914,20,22.72727394104004,0,0,83917.3482055664,38125.35693359375,1744.3077392578125,33050329088,8589930496,4296167424,0
199,1771697463611,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,5.263157844543457,15.000000953674316,10.526315689086914,5,18.18181800842285,5,4.761904716491699,10,10.526315689086914,95,75,35,14.285715103149414,10,5.555555820465088,23.809524536132813,0,83924.01885986328,38129.895080566406,1744.3077392578125,33050329088,8589930496,4038131712,0
200,1771697463811,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,25,47.619049072265625,42.85714340209961,15.000000953674316,15.000000953674316,15.789472579956055,10.526315689086914,14.285715103149414,21.052631378173828,20,5.555555820465088,33.333335876464844,10.526315689086914,5.263157844543457,27.272727966308594,15.789472579956055,0,83928.80853271484,38133.291076660156,1744.3565673828125,33050329088,8589930496,4169670656,0
200,1771697464011,1500,2201,4401,4402,4401,4399,1149,1098,1501,1611,4700,1739,4367,4402,4401,4404,80.95238494873047,16.666667938232422,40,10,10.526315689086914,0,5.263157844543457,0,13.636363983154297,14.285715103149414,23.809524536132813,23.809524536132813,19.047618865966797,10,5.555555820465088,10.526315689086914,0,83933.91589355469,38136.93096923828,1744.4771728515625,33050329088,8589930496,4399738880,0
