Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771539513680,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,21.95121955871582,25,12.5,25,14.634145736694336,15.000000953674316,10,14.285715103149414,17.5,19.047618865966797,14.634145736694336,16.666667938232422,12.5,19.047618865966797,12.5,14.285715103149414,0,134993.88305664063,65598.26470947266,3333.6056518554688,33050337280,8589930496,4888678400,0
199,1771539513680,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,21.95121955871582,25,12.5,25,14.634145736694336,15.000000953674316,10,14.285715103149414,17.5,19.047618865966797,14.634145736694336,16.666667938232422,12.5,19.047618865966797,12.5,14.285715103149414,0,134993.88305664063,65598.26470947266,3333.6056518554688,33050337280,8589930496,4888678400,0
199,1771539513881,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,0,20,10.526315689086914,9.523809432983398,15.000000953674316,30.000001907348633,0,0,65,0,9.090909004211426,0,5,5,5,20,0,134996.02294921875,65599.32421875,3333.60693359375,33050337280,8589930496,4902146048,0
199,1771539514081,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,5,0,0,0,5,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,134998.1879272461,65600.37615966797,3333.60693359375,33050337280,8589930496,4901711872,0
199,1771539514281,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,0,0,0,0,0,0,5.263157844543457,0,100,9.523809432983398,0,5,0,0,5,0,0,134999.87200927734,65600.88537597656,3333.60693359375,33050337280,8589930496,4906049536,0
199,1771539514481,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,5,9.523809432983398,9.523809432983398,5,9.523809432983398,10,4.761904716491699,0,100,5.263157844543457,0,10,35,9.523809432983398,5,5,0,135001.43383789063,65601.28192138672,3333.60693359375,33050337280,8589930496,4910477312,0
199,1771539514681,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,65,0,0,9.523809432983398,5,15.000000953674316,15.000000953674316,20,35,9.523809432983398,4.761904716491699,25,15.789472579956055,10,19.047618865966797,31.57894515991211,0,135003.52667236328,65602.36419677734,3333.60693359375,33050337280,8589930496,4928503808,0
199,1771539514881,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,45,4.761904716491699,10,5.263157844543457,10,5.263157844543457,10,19.047618865966797,55,5.263157844543457,0,0,19.047618865966797,0,10.526315689086914,10.526315689086914,0,135006.25457763672,65603.6030883789,3333.6075439453125,33050337280,8589930496,4823101440,0
200,1771539515081,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,45,4.761904716491699,10,5.263157844543457,10,5.263157844543457,10,19.047618865966797,55,5.263157844543457,0,0,19.047618865966797,0,10.526315689086914,10.526315689086914,0,135008.4365234375,65605.0220336914,3333.6077270507813,33050337280,8589930496,4645830656,0
199,1771539515281,3599,2200,2700,2700,2700,2700,1100,1099,1566,1499,1377,1200,1461,1334,1333,1328,12.5,19.51219367980957,12.5,7.692307949066162,23.076923370361328,17.073171615600586,20.512821197509766,10.526315689086914,25,17.5,51.28205490112305,24.390243530273438,23.68421173095703,17.5,14.634145736694336,15.000000953674316,0,135011.00811767578,65606.69403076172,3333.669189453125,33050337280,8589930496,4748795904,0
